LAESTAB,CYPMD_ID,QAN,QUAL_NAME,SYLLABUS,SESSION,GRADE
8604070,CYP0000088,60146084,GCSE (9-1) Mathematics,8300H,S2023,4
8604070,CYP0000088,60148366,GCSE (9-1) English Language,1EN0,S2024,5
8604070,CYP0000090,60149589,GCE A Level Art and Design,9FA0,S2024,C
8604070,CYP0000092,10025480,OCR Level 3 FSMQ: Additional Maths,6993,S2023,A
8604070,CYP0000094,60146084,GCSE (9-1) Mathematics,8300H,S2024,6
8604070,CYP0000094,60148366,GCSE (9-1) English Language,1EN0,S2024,8
8604070,CYP0000096,60149589,GCE A Level Art and Design,9FA0,S2023,A
8604070,CYP0000098,10025480,OCR Level 3 FSMQ: Additional Maths,6993,S2024,C
8604070,CYP0000100,60146084,GCSE (9-1) Mathematics,8300H,S2023,4
8604070,CYP0000100,60148366,GCSE (9-1) English Language,1EN0,S2024,5
8604070,CYP0000102,60149589,GCE A Level Art and Design,9FA0,S2024,C
8604070,CYP0000104,10025480,OCR Level 3 FSMQ: Additional Maths,6993,S2023,A
8604070,CYP0000106,60146084,GCSE (9-1) Mathematics,8300H,S2024,6
8604070,CYP0000106,60148366,GCSE (9-1) English Language,1EN0,S2024,8
8604070,CYP0000108,60149589,GCE A Level Art and Design,9FA0,S2023,A
8604070,CYP0000110,10025480,OCR Level 3 FSMQ: Additional Maths,6993,S2024,C
8604070,CYP0000112,60146084,GCSE (9-1) Mathematics,8300H,S2023,4
8604070,CYP0000112,60148366,GCSE (9-1) English Language,1EN0,S2024,5
8604070,CYP0000114,60149589,GCE A Level Art and Design,9FA0,S2024,C
8604070,CYP0000116,10025480,OCR Level 3 FSMQ: Additional Maths,6993,S2023,A
8604070,CYP0000118,60146084,GCSE (9-1) Mathematics,8300H,S2024,6
8604070,CYP0000118,60148366,GCSE (9-1) English Language,1EN0,S2024,8
8604070,CYP0000120,60149589,GCE A Level Art and Design,9FA0,S2023,A
8604070,CYP0000122,10025480,OCR Level 3 FSMQ: Additional Maths,6993,S2024,C
8604070,CYP0000124,60146084,GCSE (9-1) Mathematics,8300H,S2023,4
8604070,CYP0000124,60148366,GCSE (9-1) English Language,1EN0,S2024,5
8604070,CYP0000126,60149589,GCE A Level Art and Design,9FA0,S2024,C
8604070,CYP0000128,10025480,OCR Level 3 FSMQ: Additional Maths,6993,S2023,A
8604070,CYP0000130,60146084,GCSE (9-1) Mathematics,8300H,S2024,6
8604070,CYP0000130,60148366,GCSE (9-1) English Language,1EN0,S2024,8
8604070,CYP0000132,60149589,GCE A Level Art and Design,9FA0,S2023,A
8604070,CYP0000134,10025480,OCR Level 3 FSMQ: Additional Maths,6993,S2024,C
8604070,CYP0000136,60146084,GCSE (9-1) Mathematics,8300H,S2023,4
8604070,CYP0000136,60148366,GCSE (9-1) English Language,1EN0,S2024,5
8604070,CYP0000138,60149589,GCE A Level Art and Design,9FA0,S2024,C
8604070,CYP0000140,10025480,OCR Level 3 FSMQ: Additional Maths,6993,S2023,A
8604070,CYP0000142,60146084,GCSE (9-1) Mathematics,8300H,S2024,6
8604070,CYP0000142,60148366,GCSE (9-1) English Language,1EN0,S2024,8
8604070,CYP0000144,60149589,GCE A Level Art and Design,9FA0,S2023,A
8604070,CYP0000146,10025480,OCR Level 3 FSMQ: Additional Maths,6993,S2024,C
8604070,CYP0000148,60146084,GCSE (9-1) Mathematics,8300H,S2023,4
8604070,CYP0000148,60148366,GCSE (9-1) English Language,1EN0,S2024,5
8604070,CYP0000150,60149589,GCE A Level Art and Design,9FA0,S2024,C
8604070,CYP0000152,10025480,OCR Level 3 FSMQ: Additional Maths,6993,S2023,A
8604070,CYP0000154,60146084,GCSE (9-1) Mathematics,8300H,S2024,6
8604070,CYP0000154,60148366,GCSE (9-1) English Language,1EN0,S2024,8
8604070,CYP0000156,60149589,GCE A Level Art and Design,9FA0,S2023,A
8604070,CYP0000158,10025480,OCR Level 3 FSMQ: Additional Maths,6993,S2024,C
8604070,CYP0000160,60146084,GCSE (9-1) Mathematics,8300H,S2023,4
8604070,CYP0000160,60148366,GCSE (9-1) English Language,1EN0,S2024,5
8604070,CYP0000162,60149589,GCE A Level Art and Design,9FA0,S2024,C
8604070,CYP0000164,10025480,OCR Level 3 FSMQ: Additional Maths,6993,S2023,A
8604070,CYP0000166,60146084,GCSE (9-1) Mathematics,8300H,S2024,6
8604070,CYP0000166,60148366,GCSE (9-1) English Language,1EN0,S2024,8
8604070,CYP0000168,60149589,GCE A Level Art and Design,9FA0,S2023,A
8604070,CYP0000170,10025480,OCR Level 3 FSMQ: Additional Maths,6993,S2024,C
8604070,CYP0000172,60146084,GCSE (9-1) Mathematics,8300H,S2023,4
8604070,CYP0000172,60148366,GCSE (9-1) English Language,1EN0,S2024,5
8604070,CYP0000174,60149589,GCE A Level Art and Design,9FA0,S2024,C
8604070,CYP0000176,10025480,OCR Level 3 FSMQ: Additional Maths,6993,S2023,A
8604070,CYP0000178,60146084,GCSE (9-1) Mathematics,8300H,S2024,6
8604070,CYP0000178,60148366,GCSE (9-1) English Language,1EN0,S2024,8
8604070,CYP0000180,60149589,GCE A Level Art and Design,9FA0,S2023,A
2114505,CYP0000182,10025480,OCR Level 3 FSMQ: Additional Maths,6993,S2024,C
2114505,CYP0000184,60146084,GCSE (9-1) Mathematics,8300H,S2023,4
2114505,CYP0000184,60148366,GCSE (9-1) English Language,1EN0,S2024,5
2114505,CYP0000186,60149589,GCE A Level Art and Design,9FA0,S2024,C
2114505,CYP0000188,10025480,OCR Level 3 FSMQ: Additional Maths,6993,S2023,A
2114505,CYP0000190,60146084,GCSE (9-1) Mathematics,8300H,S2024,6
2114505,CYP0000190,60148366,GCSE (9-1) English Language,1EN0,S2024,8
2114505,CYP0000192,60149589,GCE A Level Art and Design,9FA0,S2023,A
2114505,CYP0000194,10025480,OCR Level 3 FSMQ: Additional Maths,6993,S2024,C
2114505,CYP0000196,60146084,GCSE (9-1) Mathematics,8300H,S2023,4
2114505,CYP0000196,60148366,GCSE (9-1) English Language,1EN0,S2024,5
2114505,CYP0000198,60149589,GCE A Level Art and Design,9FA0,S2024,C
2114505,CYP0000200,10025480,OCR Level 3 FSMQ: Additional Maths,6993,S2023,A
2114505,CYP0000202,60146084,GCSE (9-1) Mathematics,8300H,S2024,6
2114505,CYP0000202,60148366,GCSE (9-1) English Language,1EN0,S2024,8
2114505,CYP0000204,60149589,GCE A Level Art and Design,9FA0,S2023,A
2114505,CYP0000206,10025480,OCR Level 3 FSMQ: Additional Maths,6993,S2024,C
2114505,CYP0000208,60146084,GCSE (9-1) Mathematics,8300H,S2023,4
2114505,CYP0000208,60148366,GCSE (9-1) English Language,1EN0,S2024,5
2114505,CYP0000210,60149589,GCE A Level Art and Design,9FA0,S2024,C
2114505,CYP0000212,10025480,OCR Level 3 FSMQ: Additional Maths,6993,S2023,A
2114505,CYP0000214,60146084,GCSE (9-1) Mathematics,8300H,S2024,6
2114505,CYP0000214,60148366,GCSE (9-1) English Language,1EN0,S2024,8
2114505,CYP0000216,60149589,GCE A Level Art and Design,9FA0,S2023,A
2114505,CYP0000218,10025480,OCR Level 3 FSMQ: Additional Maths,6993,S2024,C
2114505,CYP0000220,60146084,GCSE (9-1) Mathematics,8300H,S2023,4
2114505,CYP0000220,60148366,GCSE (9-1) English Language,1EN0,S2024,5
2114505,CYP0000222,60149589,GCE A Level Art and Design,9FA0,S2024,C
2114505,CYP0000224,10025480,OCR Level 3 FSMQ: Additional Maths,6993,S2023,A
2114505,CYP0000226,60146084,GCSE (9-1) Mathematics,8300H,S2024,6
2114505,CYP0000226,60148366,GCSE (9-1) English Language,1EN0,S2024,8
2114505,CYP0000228,60149589,GCE A Level Art and Design,9FA0,S2023,A
2114505,CYP0000230,10025480,OCR Level 3 FSMQ: Additional Maths,6993,S2024,C
2114505,CYP0000232,60146084,GCSE (9-1) Mathematics,8300H,S2023,4
2114505,CYP0000232,60148366,GCSE (9-1) English Language,1EN0,S2024,5
2114505,CYP0000234,60149589,GCE A Level Art and Design,9FA0,S2024,C
2114505,CYP0000236,10025480,OCR Level 3 FSMQ: Additional Maths,6993,S2023,A
2114505,CYP0000238,60146084,GCSE (9-1) Mathematics,8300H,S2024,6
2114505,CYP0000238,60148366,GCSE (9-1) English Language,1EN0,S2024,8
2114505,CYP0000240,60149589,GCE A Level Art and Design,9FA0,S2023,A
2114505,CYP0000242,10025480,OCR Level 3 FSMQ: Additional Maths,6993,S2024,C
2114505,CYP0000244,60146084,GCSE (9-1) Mathematics,8300H,S2023,4
2114505,CYP0000244,60148366,GCSE (9-1) English Language,1EN0,S2024,5
2114505,CYP0000246,60149589,GCE A Level Art and Design,9FA0,S2024,C
2114505,CYP0000248,10025480,OCR Level 3 FSMQ: Additional Maths,6993,S2023,A
2114505,CYP0000250,60146084,GCSE (9-1) Mathematics,8300H,S2024,6
2114505,CYP0000250,60148366,GCSE (9-1) English Language,1EN0,S2024,8
2114505,CYP0000252,60149589,GCE A Level Art and Design,9FA0,S2023,A
2114505,CYP0000254,10025480,OCR Level 3 FSMQ: Additional Maths,6993,S2024,C
2114505,CYP0000256,60146084,GCSE (9-1) Mathematics,8300H,S2023,4
2114505,CYP0000256,60148366,GCSE (9-1) English Language,1EN0,S2024,5
2114505,CYP0000258,60149589,GCE A Level Art and Design,9FA0,S2024,C
2114505,CYP0000260,10025480,OCR Level 3 FSMQ: Additional Maths,6993,S2023,A
2114505,CYP0000262,60146084,GCSE (9-1) Mathematics,8300H,S2024,6
2114505,CYP0000262,60148366,GCSE (9-1) English Language,1EN0,S2024,8
2114505,CYP0000264,60149589,GCE A Level Art and Design,9FA0,S2023,A
2114505,CYP0000266,10025480,OCR Level 3 FSMQ: Additional Maths,6993,S2024,C
2114505,CYP0000268,60146084,GCSE (9-1) Mathematics,8300H,S2023,4
2114505,CYP0000268,60148366,GCSE (9-1) English Language,1EN0,S2024,5
2114505,CYP0000270,60149589,GCE A Level Art and Design,9FA0,S2024,C
2114505,CYP0000272,10025480,OCR Level 3 FSMQ: Additional Maths,6993,S2023,A
2114505,CYP0000274,60146084,GCSE (9-1) Mathematics,8300H,S2024,6
2114505,CYP0000274,60148366,GCSE (9-1) English Language,1EN0,S2024,8
2114505,CYP0000276,60149589,GCE A Level Art and Design,9FA0,S2023,A
2114505,CYP0000278,10025480,OCR Level 3 FSMQ: Additional Maths,6993,S2024,C
2114505,CYP0000280,60146084,GCSE (9-1) Mathematics,8300H,S2023,4
2114505,CYP0000280,60148366,GCSE (9-1) English Language,1EN0,S2024,5
2114505,CYP0000282,60149589,GCE A Level Art and Design,9FA0,S2024,C
2114505,CYP0000284,10025480,OCR Level 3 FSMQ: Additional Maths,6993,S2023,A
2114505,CYP0000286,60146084,GCSE (9-1) Mathematics,8300H,S2024,6
2114505,CYP0000286,60148366,GCSE (9-1) English Language,1EN0,S2024,8
2114505,CYP0000288,60149589,GCE A Level Art and Design,9FA0,S2023,A
2114505,CYP0000290,10025480,OCR Level 3 FSMQ: Additional Maths,6993,S2024,C
2114505,CYP0000292,60146084,GCSE (9-1) Mathematics,8300H,S2023,4
2114505,CYP0000292,60148366,GCSE (9-1) English Language,1EN0,S2024,5
2114505,CYP0000294,60149589,GCE A Level Art and Design,9FA0,S2024,C
2114505,CYP0000296,10025480,OCR Level 3 FSMQ: Additional Maths,6993,S2023,A
2114505,CYP0000298,60146084,GCSE (9-1) Mathematics,8300H,S2024,6
2114505,CYP0000298,60148366,GCSE (9-1) English Language,1EN0,S2024,8
2114505,CYP0000300,60149589,GCE A Level Art and Design,9FA0,S2023,A
2114505,CYP0000302,10025480,OCR Level 3 FSMQ: Additional Maths,6993,S2024,C
2114505,CYP0000304,60146084,GCSE (9-1) Mathematics,8300H,S2023,4
2114505,CYP0000304,60148366,GCSE (9-1) English Language,1EN0,S2024,5
2114505,CYP0000306,60149589,GCE A Level Art and Design,9FA0,S2024,C
2114505,CYP0000308,10025480,OCR Level 3 FSMQ: Additional Maths,6993,S2023,A
2114505,CYP0000310,60146084,GCSE (9-1) Mathematics,8300H,S2024,6
2114505,CYP0000310,60148366,GCSE (9-1) English Language,1EN0,S2024,8
2114505,CYP0000312,60149589,GCE A Level Art and Design,9FA0,S2023,A
2114505,CYP0000314,10025480,OCR Level 3 FSMQ: Additional Maths,6993,S2024,C
2114505,CYP0000316,60146084,GCSE (9-1) Mathematics,8300H,S2023,4
2114505,CYP0000316,60148366,GCSE (9-1) English Language,1EN0,S2024,5
2114505,CYP0000318,60149589,GCE A Level Art and Design,9FA0,S2024,C
2114505,CYP0000320,10025480,OCR Level 3 FSMQ: Additional Maths,6993,S2023,A
2114505,CYP0000322,60146084,GCSE (9-1) Mathematics,8300H,S2024,6
2114505,CYP0000322,60148366,GCSE (9-1) English Language,1EN0,S2024,8
2114505,CYP0000324,60149589,GCE A Level Art and Design,9FA0,S2023,A
2114505,CYP0000326,10025480,OCR Level 3 FSMQ: Additional Maths,6993,S2024,C
2114507,CYP0000328,60146084,GCSE (9-1) Mathematics,8300H,S2023,4
2114507,CYP0000328,60148366,GCSE (9-1) English Language,1EN0,S2024,5
2114507,CYP0000330,60149589,GCE A Level Art and Design,9FA0,S2024,C
2114507,CYP0000332,10025480,OCR Level 3 FSMQ: Additional Maths,6993,S2023,A
2114507,CYP0000334,60146084,GCSE (9-1) Mathematics,8300H,S2024,6
2114507,CYP0000334,60148366,GCSE (9-1) English Language,1EN0,S2024,8
2114507,CYP0000336,60149589,GCE A Level Art and Design,9FA0,S2023,A
2114507,CYP0000338,10025480,OCR Level 3 FSMQ: Additional Maths,6993,S2024,C
2114507,CYP0000340,60146084,GCSE (9-1) Mathematics,8300H,S2023,4
2114507,CYP0000340,60148366,GCSE (9-1) English Language,1EN0,S2024,5
2114507,CYP0000342,60149589,GCE A Level Art and Design,9FA0,S2024,C
2114507,CYP0000344,10025480,OCR Level 3 FSMQ: Additional Maths,6993,S2023,A
2114507,CYP0000346,60146084,GCSE (9-1) Mathematics,8300H,S2024,6
2114507,CYP0000346,60148366,GCSE (9-1) English Language,1EN0,S2024,8
2114507,CYP0000348,60149589,GCE A Level Art and Design,9FA0,S2023,A
2114507,CYP0000350,10025480,OCR Level 3 FSMQ: Additional Maths,6993,S2024,C
2114507,CYP0000352,60146084,GCSE (9-1) Mathematics,8300H,S2023,4
2114507,CYP0000352,60148366,GCSE (9-1) English Language,1EN0,S2024,5
2114507,CYP0000354,60149589,GCE A Level Art and Design,9FA0,S2024,C
2114507,CYP0000356,10025480,OCR Level 3 FSMQ: Additional Maths,6993,S2023,A
2114507,CYP0000358,60146084,GCSE (9-1) Mathematics,8300H,S2024,6
2114507,CYP0000358,60148366,GCSE (9-1) English Language,1EN0,S2024,8
2114507,CYP0000360,60149589,GCE A Level Art and Design,9FA0,S2023,A
2114507,CYP0000362,10025480,OCR Level 3 FSMQ: Additional Maths,6993,S2024,C
2114507,CYP0000364,60146084,GCSE (9-1) Mathematics,8300H,S2023,4
2114507,CYP0000364,60148366,GCSE (9-1) English Language,1EN0,S2024,5
2114507,CYP0000366,60149589,GCE A Level Art and Design,9FA0,S2024,C
2114507,CYP0000368,10025480,OCR Level 3 FSMQ: Additional Maths,6993,S2023,A
2114507,CYP0000370,60146084,GCSE (9-1) Mathematics,8300H,S2024,6
2114507,CYP0000370,60148366,GCSE (9-1) English Language,1EN0,S2024,8
2114507,CYP0000372,60149589,GCE A Level Art and Design,9FA0,S2023,A
2114507,CYP0000374,10025480,OCR Level 3 FSMQ: Additional Maths,6993,S2024,C
2114507,CYP0000376,60146084,GCSE (9-1) Mathematics,8300H,S2023,4
2114507,CYP0000376,60148366,GCSE (9-1) English Language,1EN0,S2024,5
2114507,CYP0000378,60149589,GCE A Level Art and Design,9FA0,S2024,C
2114507,CYP0000380,10025480,OCR Level 3 FSMQ: Additional Maths,6993,S2023,A
2114507,CYP0000382,60146084,GCSE (9-1) Mathematics,8300H,S2024,6
2114507,CYP0000382,60148366,GCSE (9-1) English Language,1EN0,S2024,8
2114507,CYP0000384,60149589,GCE A Level Art and Design,9FA0,S2023,A
2114507,CYP0000386,10025480,OCR Level 3 FSMQ: Additional Maths,6993,S2024,C
2114507,CYP0000388,60146084,GCSE (9-1) Mathematics,8300H,S2023,4
2114507,CYP0000388,60148366,GCSE (9-1) English Language,1EN0,S2024,5
2114507,CYP0000390,60149589,GCE A Level Art and Design,9FA0,S2024,C
2114507,CYP0000392,10025480,OCR Level 3 FSMQ: Additional Maths,6993,S2023,A
2114507,CYP0000394,60146084,GCSE (9-1) Mathematics,8300H,S2024,6
2114507,CYP0000394,60148366,GCSE (9-1) English Language,1EN0,S2024,8
2114507,CYP0000396,60149589,GCE A Level Art and Design,9FA0,S2023,A
2114507,CYP0000398,10025480,OCR Level 3 FSMQ: Additional Maths,6993,S2024,C
2114507,CYP0000400,60146084,GCSE (9-1) Mathematics,8300H,S2023,4
2114507,CYP0000400,60148366,GCSE (9-1) English Language,1EN0,S2024,5
2114507,CYP0000402,60149589,GCE A Level Art and Design,9FA0,S2024,C
2114507,CYP0000404,10025480,OCR Level 3 FSMQ: Additional Maths,6993,S2023,A
2114507,CYP0000406,60146084,GCSE (9-1) Mathematics,8300H,S2024,6
2114507,CYP0000406,60148366,GCSE (9-1) English Language,1EN0,S2024,8
2114507,CYP0000408,60149589,GCE A Level Art and Design,9FA0,S2023,A
2114507,CYP0000410,10025480,OCR Level 3 FSMQ: Additional Maths,6993,S2024,C
2114507,CYP0000412,60146084,GCSE (9-1) Mathematics,8300H,S2023,4
2114507,CYP0000412,60148366,GCSE (9-1) English Language,1EN0,S2024,5
2114507,CYP0000414,60149589,GCE A Level Art and Design,9FA0,S2024,C
2114507,CYP0000416,10025480,OCR Level 3 FSMQ: Additional Maths,6993,S2023,A
2114507,CYP0000418,60146084,GCSE (9-1) Mathematics,8300H,S2024,6
2114507,CYP0000418,60148366,GCSE (9-1) English Language,1EN0,S2024,8
2114507,CYP0000420,60149589,GCE A Level Art and Design,9FA0,S2023,A
2114507,CYP0000422,10025480,OCR Level 3 FSMQ: Additional Maths,6993,S2024,C
2114507,CYP0000424,60146084,GCSE (9-1) Mathematics,8300H,S2023,4
2114507,CYP0000424,60148366,GCSE (9-1) English Language,1EN0,S2024,5
2114507,CYP0000426,60149589,GCE A Level Art and Design,9FA0,S2024,C
2114507,CYP0000428,10025480,OCR Level 3 FSMQ: Additional Maths,6993,S2023,A
2114507,CYP0000430,60146084,GCSE (9-1) Mathematics,8300H,S2024,6
2114507,CYP0000430,60148366,GCSE (9-1) English Language,1EN0,S2024,8
2114507,CYP0000432,60149589,GCE A Level Art and Design,9FA0,S2023,A
2114507,CYP0000434,10025480,OCR Level 3 FSMQ: Additional Maths,6993,S2024,C
2114507,CYP0000436,60146084,GCSE (9-1) Mathematics,8300H,S2023,4
2114507,CYP0000436,60148366,GCSE (9-1) English Language,1EN0,S2024,5
2114507,CYP0000438,60149589,GCE A Level Art and Design,9FA0,S2024,C
2114507,CYP0000440,10025480,OCR Level 3 FSMQ: Additional Maths,6993,S2023,A
2114507,CYP0000442,60146084,GCSE (9-1) Mathematics,8300H,S2024,6
2114507,CYP0000442,60148366,GCSE (9-1) English Language,1EN0,S2024,8
2114507,CYP0000444,60149589,GCE A Level Art and Design,9FA0,S2023,A
2136327,CYP0000446,10025480,OCR Level 3 FSMQ: Additional Maths,6993,S2024,C
2136327,CYP0000448,60146084,GCSE (9-1) Mathematics,8300H,S2023,4
2136327,CYP0000448,60148366,GCSE (9-1) English Language,1EN0,S2024,5
2136327,CYP0000450,60149589,GCE A Level Art and Design,9FA0,S2024,C
2136327,CYP0000452,10025480,OCR Level 3 FSMQ: Additional Maths,6993,S2023,A
2136327,CYP0000454,60146084,GCSE (9-1) Mathematics,8300H,S2024,6
2136327,CYP0000454,60148366,GCSE (9-1) English Language,1EN0,S2024,8
2136327,CYP0000456,60149589,GCE A Level Art and Design,9FA0,S2023,A
2136327,CYP0000458,10025480,OCR Level 3 FSMQ: Additional Maths,6993,S2024,C
2136327,CYP0000460,60146084,GCSE (9-1) Mathematics,8300H,S2023,4
2136327,CYP0000460,60148366,GCSE (9-1) English Language,1EN0,S2024,5
2136327,CYP0000462,60149589,GCE A Level Art and Design,9FA0,S2024,C
2136327,CYP0000464,10025480,OCR Level 3 FSMQ: Additional Maths,6993,S2023,A
2136327,CYP0000466,60146084,GCSE (9-1) Mathematics,8300H,S2024,6
2136327,CYP0000466,60148366,GCSE (9-1) English Language,1EN0,S2024,8
8808003,CYP0000468,60149589,GCE A Level Art and Design,9FA0,S2023,A
8808003,CYP0000470,10025480,OCR Level 3 FSMQ: Additional Maths,6993,S2024,C
8808003,CYP0000472,60146084,GCSE (9-1) Mathematics,8300H,S2023,4
8808003,CYP0000472,60148366,GCSE (9-1) English Language,1EN0,S2024,5
8808003,CYP0000474,60149589,GCE A Level Art and Design,9FA0,S2024,C
8808003,CYP0000476,10025480,OCR Level 3 FSMQ: Additional Maths,6993,S2023,A
8808003,CYP0000478,60146084,GCSE (9-1) Mathematics,8300H,S2024,6
8808003,CYP0000478,60148366,GCSE (9-1) English Language,1EN0,S2024,8
8808003,CYP0000480,60149589,GCE A Level Art and Design,9FA0,S2023,A
8808003,CYP0000482,10025480,OCR Level 3 FSMQ: Additional Maths,6993,S2024,C
8808003,CYP0000484,60146084,GCSE (9-1) Mathematics,8300H,S2023,4
8808003,CYP0000484,60148366,GCSE (9-1) English Language,1EN0,S2024,5
8808003,CYP0000486,60149589,GCE A Level Art and Design,9FA0,S2024,C
8808003,CYP0000488,10025480,OCR Level 3 FSMQ: Additional Maths,6993,S2023,A
8808003,CYP0000490,60146084,GCSE (9-1) Mathematics,8300H,S2024,6
8808003,CYP0000490,60148366,GCSE (9-1) English Language,1EN0,S2024,8
8808003,CYP0000492,60149589,GCE A Level Art and Design,9FA0,S2023,A
8808003,CYP0000494,10025480,OCR Level 3 FSMQ: Additional Maths,6993,S2024,C
8808003,CYP0000496,60146084,GCSE (9-1) Mathematics,8300H,S2023,4
8808003,CYP0000496,60148366,GCSE (9-1) English Language,1EN0,S2024,5
8808003,CYP0000498,60149589,GCE A Level Art and Design,9FA0,S2024,C
8808003,CYP0000500,10025480,OCR Level 3 FSMQ: Additional Maths,6993,S2023,A
8808003,CYP0000502,60146084,GCSE (9-1) Mathematics,8300H,S2024,6
8808003,CYP0000502,60148366,GCSE (9-1) English Language,1EN0,S2024,8
8808003,CYP0000504,60149589,GCE A Level Art and Design,9FA0,S2023,A
8808003,CYP0000506,10025480,OCR Level 3 FSMQ: Additional Maths,6993,S2024,C
8808003,CYP0000508,60146084,GCSE (9-1) Mathematics,8300H,S2023,4
8808003,CYP0000508,60148366,GCSE (9-1) English Language,1EN0,S2024,5
8808003,CYP0000510,60149589,GCE A Level Art and Design,9FA0,S2024,C
8808003,CYP0000512,10025480,OCR Level 3 FSMQ: Additional Maths,6993,S2023,A
8808003,CYP0000514,60146084,GCSE (9-1) Mathematics,8300H,S2024,6
8808003,CYP0000514,60148366,GCSE (9-1) English Language,1EN0,S2024,8
8808003,CYP0000516,60149589,GCE A Level Art and Design,9FA0,S2023,A
8808003,CYP0000518,10025480,OCR Level 3 FSMQ: Additional Maths,6993,S2024,C
8808003,CYP0000520,60146084,GCSE (9-1) Mathematics,8300H,S2023,4
8808003,CYP0000520,60148366,GCSE (9-1) English Language,1EN0,S2024,5
8808003,CYP0000522,60149589,GCE A Level Art and Design,9FA0,S2024,C
8808003,CYP0000524,10025480,OCR Level 3 FSMQ: Additional Maths,6993,S2023,A
8808003,CYP0000526,60146084,GCSE (9-1) Mathematics,8300H,S2024,6
8808003,CYP0000526,60148366,GCSE (9-1) English Language,1EN0,S2024,8
8808003,CYP0000528,60149589,GCE A Level Art and Design,9FA0,S2023,A
8808003,CYP0000530,10025480,OCR Level 3 FSMQ: Additional Maths,6993,S2024,C
8808003,CYP0000532,60146084,GCSE (9-1) Mathematics,8300H,S2023,4
8808003,CYP0000532,60148366,GCSE (9-1) English Language,1EN0,S2024,5
8808003,CYP0000534,60149589,GCE A Level Art and Design,9FA0,S2024,C
8808003,CYP0000536,10025480,OCR Level 3 FSMQ: Additional Maths,6993,S2023,A
8808003,CYP0000538,60146084,GCSE (9-1) Mathematics,8300H,S2024,6
8808003,CYP0000538,60148366,GCSE (9-1) English Language,1EN0,S2024,8
8808003,CYP0000540,60149589,GCE A Level Art and Design,9FA0,S2023,A
8808003,CYP0000542,10025480,OCR Level 3 FSMQ: Additional Maths,6993,S2024,C
8808003,CYP0000544,60146084,GCSE (9-1) Mathematics,8300H,S2023,4
8808003,CYP0000544,60148366,GCSE (9-1) English Language,1EN0,S2024,5
8808003,CYP0000546,60149589,GCE A Level Art and Design,9FA0,S2024,C
8808003,CYP0000548,10025480,OCR Level 3 FSMQ: Additional Maths,6993,S2023,A
8808003,CYP0000550,60146084,GCSE (9-1) Mathematics,8300H,S2024,6
8808003,CYP0000550,60148366,GCSE (9-1) English Language,1EN0,S2024,8
8808003,CYP0000552,60149589,GCE A Level Art and Design,9FA0,S2023,A
8808003,CYP0000554,10025480,OCR Level 3 FSMQ: Additional Maths,6993,S2024,C
8808003,CYP0000556,60146084,GCSE (9-1) Mathematics,8300H,S2023,4
8808003,CYP0000556,60148366,GCSE (9-1) English Language,1EN0,S2024,5
8808003,CYP0000558,60149589,GCE A Level Art and Design,9FA0,S2024,C
8808003,CYP0000560,10025480,OCR Level 3 FSMQ: Additional Maths,6993,S2023,A
8808003,CYP0000562,60146084,GCSE (9-1) Mathematics,8300H,S2024,6
8808003,CYP0000562,60148366,GCSE (9-1) English Language,1EN0,S2024,8
8808003,CYP0000564,60149589,GCE A Level Art and Design,9FA0,S2023,A
